,Date,Ticker,Operation,Open price,Z-Score,Commissions,Shares,Close price,P/L
232,2021-07-16,NASDAQ:LSCC,Buy,50.26,-2.11,4.67,934,0.0,0.0
233,2021-07-16,NASDAQ:MEDP,Sell,182.94,-2.11,1.28,256,0.0,0.0
234,2021-07-27,NASDAQ:LSCC,Close,50.26,0.857,4.67,934,52.45,2054.8
235,2021-07-27,NASDAQ:MEDP,Close,182.94,0.857,1.28,256,171.14,3018.24
236,2021-07-30,NASDAQ:LSCC,Sell,56.74,2.777,4.58,916,0.0,0.0
237,2021-07-30,NASDAQ:MEDP,Buy,175.94,2.777,1.475,295,0.0,0.0
238,2021-08-16,NASDAQ:LSCC,Close,56.74,-0.165,4.58,916,58.34,-1456.44
239,2021-08-16,NASDAQ:MEDP,Close,175.94,-0.165,1.475,295,184.75,2596.0
240,2021-09-13,NASDAQ:LSCC,Sell,64.12,2.778,4.14,828,0.0,0.0
241,2021-09-13,NASDAQ:MEDP,Buy,185.63,2.778,1.43,286,0.0,0.0
242,2021-09-29,NASDAQ:LSCC,Close,64.12,-0.055,4.14,828,64.0,99.36
243,2021-09-29,NASDAQ:MEDP,Close,185.63,-0.055,1.43,286,187.66,577.72
244,2021-10-18,NASDAQ:LSCC,Sell,67.51,2.654,3.98,796,0.0,0.0
245,2021-10-18,NASDAQ:MEDP,Buy,185.82,2.654,1.445,289,0.0,0.0
246,2021-10-26,NASDAQ:LSCC,Close,67.51,-2.222,3.98,796,68.47,-772.12
247,2021-10-26,NASDAQ:MEDP,Close,185.82,-2.222,1.445,289,213.02,7857.91
248,2021-10-26,NASDAQ:LSCC,Buy,68.47,-2.222,4.44,888,0.0,0.0
249,2021-10-26,NASDAQ:MEDP,Sell,213.02,-2.222,1.425,285,0.0,0.0
250,2021-11-03,NASDAQ:LSCC,Close,68.47,0.178,4.44,888,77.7,8196.24
251,2021-11-03,NASDAQ:MEDP,Close,213.02,0.178,1.425,285,224.25,-3200.55
